Tous	HP:0000001#
Anomalie de la taille corporelle	HP:0000002#
Dysplasie polykystique des reins	HP:0000003#
Rein dysplasique multicystique	HP:0000003#
Reins multicystiques	HP:0000003#
Dysplasie rénale multikystique	HP:0000003#
Mode d'héritage	HP:0000005#
Héritage	HP:0000005#
Transmission autosomique dominante	HP:0000006#
Dominante autosomique	HP:0000006#
Forme autosomique dominante	HP:0000006#
Type autosomique dominant	HP:0000006#
Transmission autosomique récessive	HP:0000007#
Prédisposition autosomique récessive	HP:0000007#
Forme autosomique récessive	HP:0000007#
Autosomique récessif	HP:0000007#
Anomalie des organes génitaux internes de la femme	HP:0000008#
Anomalie fonctionnelle de la vessie	HP:0000009#
Mauvaise fonction vésicale	HP:0000009#
Infections récurrentes des voies urinaires	HP:0000010#
Infection des voies urinaires	HP:0000010#
Infections urinaires récurrentes	HP:0000010#
Infections fréquentes des voies urinaires	HP:0000010#
Infection urinaire	HP:0000010#
Infections des voies urinaires	HP:0000010#
Vessie neurogène	HP:0000011#
Urgence urinaire	HP:0000012#
Syndrome de fréquence des urgences	HP:0000012#
Syndrome de la vessie hyperactive	HP:0000012#
Vessie hyperactive	HP:0000012#
Hypoplasie de l'utérus	HP:0000013#
Utérus rudimentaire	HP:0000013#
Utérus hypoplasique	HP:0000013#
Petit utérus	HP:0000013#
Utérus sous-développé	HP:0000013#
Anomalie de la vessie	HP:0000014#
Diverticule de la vessie	HP:0000015#
Diverticules de la vessie	HP:0000015#
Rétention urinaire	HP:0000016#
Augmentation du volume urinaire résiduel post-mictionnel	HP:0000016#
Nocturie	HP:0000017#
Nycturia	HP:0000017#
Hésitation urinaire	HP:0000019#
Difficulté d'écoulement	HP:0000019#
Incontinence urinaire	HP:0000020#
Perte du contrôle de la vessie	HP:0000020#
Incontinence vésicale	HP:0000020#
Megacystis	HP:0000021#
Anomalie des organes génitaux internes masculins	HP:0000022#
Hernie inguinale	HP:0000023#
Prostatite	HP:0000024#
Inflammation de la prostate	HP:0000024#
Anomalie fonctionnelle des organes génitaux internes masculins	HP:0000025#
Hypogonadisme masculin	HP:0000026#
Diminution de la fonction des gonades mâles	HP:0000026#
Azoospermie	HP:0000027#
Absence de spermatozoïdes dans le sperme	HP:0000027#
Cryptorchidie	HP:0000028#
Testicules non descendus	HP:0000028#
Cryptorchisme	HP:0000028#
Testicule non descendu	HP:0000028#
Atrophie testiculaire	HP:0000029#
Dégénérescence testiculaire	HP:0000029#
Gonadoblastome testiculaire	HP:0000030#
Gonadoblastome, homme	HP:0000030#
Epididymite	HP:0000031#
Anomalie des organes génitaux externes masculins	HP:0000032#
Organes génitaux ambigus, mâle	HP:0000033#
Organes génitaux ambigus chez les mâles	HP:0000033#
Hydrocèle du testicule	HP:0000034#
Hydrocèle	HP:0000034#
Hydrocèle testiculaire	HP:0000034#
Anomalie du testicule	HP:0000035#
Anomalie des testicules	HP:0000035#
Anomalie du pénis	HP:0000036#
Pseudohermaphrodisme masculin	HP:0000037#
Epispadias	HP:0000039#
Long pénis	HP:0000040#
Agrandissement du pénis	HP:0000040#
Chordee	HP:0000041#
Organes génitaux externes absents	HP:0000042#
Hypogonadisme hypogonadotrophique	HP:0000044#
Hypogonadisme hypogonadotrope isolé	HP:0000044#
Hypogonadisme, hypogonadotropique	HP:0000044#
Faible taux de gonadotrophines (hypogonadisme secondaire)	HP:0000044#
Anomalie du scrotum	HP:0000045#
Hypoplasie du scrotum	HP:0000046#
Scrotum hypoplasique	HP:0000046#
Hypospadias	HP:0000047#
Hypospadia	HP:0000047#
Scrotum bifide	HP:0000048#
Fente du scrotum	HP:0000048#
Fente scrotale	HP:0000048#
Châle scrotum	HP:0000049#
Dépassement du scrotum	HP:0000049#
Organes génitaux externes mâles hypoplasiques	HP:0000050#
Petits organes génitaux externes masculins	HP:0000050#
Organes génitaux masculins hypoplasiques	HP:0000050#
Organes génitaux masculins sous-développés	HP:0000050#
Hypospadias périnéal	HP:0000051#
Atrésie de l'urètre, homme	HP:0000052#
Macroorchidie	HP:0000053#
Gros testicule	HP:0000053#
Gros testicules	HP:0000053#
Micropénis	HP:0000054#
Petit pénis	HP:0000054#
Pénis court	HP:0000054#
Anomalie des organes génitaux externes de la femme	HP:0000055#
Organes génitaux externes féminins anormaux	HP:0000055#
Anomalie du clitoris	HP:0000056#
obsolète Clitoromégalie	HP:0000057#
Anomalie des lèvres	HP:0000058#
Grandes lèvres hypoplasiques	HP:0000059#
Lèvres vaginales sous-développées	HP:0000059#
Hypoplasie des grandes lèvres	HP:0000059#
Petites lèvres majeures	HP:0000059#
